epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,297.578,1.85789,1.03042,0.96293,0.97558,0.51546,0.92651,0.39477,1.91097,1.83174,0.97184,0.00040905,0.00040905,0.00040905
61,302.82,1.81517,1.02622,0.9695,0.97558,0.51546,0.92651,0.39477,1.91097,1.83174,0.97184,0.000406081,0.000406081,0.000406081
62,307.75,1.81615,1.03629,0.94986,0.97558,0.51546,0.92651,0.39477,1.91097,1.83174,0.97184,0.000402782,0.000402782,0.000402782
63,312.759,1.78298,0.99827,0.97028,0.97628,0.59672,0.9445,0.38694,1.93175,1.77857,0.97741,0.000399153,0.000399153,0.000399153
64,317.685,1.79728,1.02653,0.91466,0.97628,0.59672,0.9445,0.38694,1.93175,1.77857,0.97741,0.000395194,0.000395194,0.000395194
65,322.725,1.80384,0.98742,0.94836,0.97628,0.59672,0.9445,0.38694,1.93175,1.77857,0.97741,0.000390905,0.000390905,0.000390905
66,327.704,1.7892,1.01091,0.93451,0.97667,0.65249,0.95384,0.36082,2.00205,1.75645,0.99203,0.000386286,0.000386286,0.000386286
67,332.637,1.84595,0.99298,0.92698,0.97667,0.65249,0.95384,0.36082,2.00205,1.75645,0.99203,0.000381336,0.000381336,0.000381336
68,337.593,1.82114,1.05749,0.93861,0.97667,0.65249,0.95384,0.36082,2.00205,1.75645,0.99203,0.000376057,0.000376057,0.000376057
69,342.444,1.85532,1.00463,0.94074,0.96565,0.68292,0.94264,0.35414,2.02624,1.73781,0.99326,0.000370447,0.000370447,0.000370447
70,347.367,1.87119,1.07039,0.97493,0.96565,0.68292,0.94264,0.35414,2.02624,1.73781,0.99326,0.000364508,0.000364508,0.000364508
71,352.446,1.76022,1.00292,0.92557,0.96565,0.68292,0.94264,0.35414,2.02624,1.73781,0.99326,0.000358238,0.000358238,0.000358238
72,357.765,1.81051,0.96689,0.94217,0.93457,0.69269,0.93452,0.37515,2.00261,1.69451,0.98496,0.000351639,0.000351639,0.000351639
73,362.765,1.81159,0.96908,0.94346,0.93457,0.69269,0.93452,0.37515,2.00261,1.69451,0.98496,0.000344709,0.000344709,0.000344709
74,368.135,1.85474,0.9775,0.95798,0.93457,0.69269,0.93452,0.37515,2.00261,1.69451,0.98496,0.000337449,0.000337449,0.000337449
75,373.386,1.83523,0.99411,0.93602,0.93853,0.72228,0.9392,0.39512,1.96653,1.65813,0.97553,0.000329859,0.000329859,0.000329859
76,378.995,1.75699,0.93825,0.91172,0.93853,0.72228,0.9392,0.39512,1.96653,1.65813,0.97553,0.000321939,0.000321939,0.000321939
77,384.102,1.86164,1.02548,0.95766,0.93853,0.72228,0.9392,0.39512,1.96653,1.65813,0.97553,0.000313689,0.000313689,0.000313689
78,388.857,1.76666,0.98497,0.92704,0.95179,0.78566,0.94597,0.39869,1.9607,1.62321,0.97357,0.000305109,0.000305109,0.000305109
79,393.635,1.8188,0.99994,0.92537,0.95179,0.78566,0.94597,0.39869,1.9607,1.62321,0.97357,0.000296199,0.000296199,0.000296199
80,398.519,1.80895,0.9988,0.92311,0.95179,0.78566,0.94597,0.39869,1.9607,1.62321,0.97357,0.000286959,0.000286959,0.000286959
81,403.66,1.78517,0.97078,0.92876,0.94752,0.79741,0.93713,0.3775,1.99614,1.60396,0.98206,0.000277389,0.000277389,0.000277389
82,408.496,1.79454,0.96865,0.96342,0.94752,0.79741,0.93713,0.3775,1.99614,1.60396,0.98206,0.000267488,0.000267488,0.000267488
83,413.59,1.7716,1.00203,0.91657,0.94752,0.79741,0.93713,0.3775,1.99614,1.60396,0.98206,0.000257258,0.000257258,0.000257258
84,418.414,1.7983,0.94875,0.95472,0.94113,0.82687,0.93613,0.37904,1.98666,1.5535,0.97993,0.000246698,0.000246698,0.000246698
85,423.217,1.82839,0.99229,0.97219,0.94113,0.82687,0.93613,0.37904,1.98666,1.5535,0.97993,0.000235807,0.000235807,0.000235807
86,427.961,1.81385,0.973,0.95359,0.94113,0.82687,0.93613,0.37904,1.98666,1.5535,0.97993,0.000224587,0.000224587,0.000224587
