timestamp,poi,x,y,z,qw,qx,qy,qz,vx,vy,vz,roll,pitch,yaw,gimbal_pitch,radio_min,radio_max
930395129,0,-0.428837,-0.891206,0.434165,0.582895,0.00587152,-0.00917764,0.812475,8.08179e-05,0.00150694,-0.0007692,-0.00806998,-0.0202415,1.89702,0.0202457,0,0
930426786,0,-0.428771,-0.89126,0.434033,0.582927,0.00581861,-0.00922654,0.812452,-0.00196025,-0.00156326,-0.00197564,-0.00821035,-0.0202128,1.89694,0.0202203,0,0
930460248,0,-0.428645,-0.891274,0.433968,0.582888,0.0058032,-0.00924891,0.812479,-0.00175452,-0.00138349,-0.00223474,-0.00826566,-0.0202135,1.89703,0.0202203,0,0
930498353,0,-0.428613,-0.891272,0.433898,0.582893,0.00587018,-0.00918151,0.812476,-0.000749176,-0.000361926,-0.00195152,-0.0080779,-0.0202438,1.89702,0.0202207,0,0
930531896,0,-0.428479,-0.891263,0.433833,0.582912,0.00587009,-0.00915563,0.812463,-0.00114441,-0.00484164,-0.00175002,-0.00803545,-0.0202137,1.89697,0.0202238,0,0
930562790,0,-0.428337,-0.891247,0.433822,0.582874,0.00577979,-0.00924798,0.812489,-0.000570464,-0.00346086,0.000177303,-0.00829177,-0.0201742,1.89707,0.0202238,0,0
930600110,0,-0.428397,-0.89128,0.433823,0.582883,0.00578348,-0.00927163,0.812483,-0.000396908,0.00235609,-0.000124572,-0.00832568,-0.0202079,1.89705,0.020179,0,0
930629699,0,-0.428584,-0.891357,0.433763,0.582901,0.00587317,-0.00914168,0.812471,-0.000571141,0.00475258,-0.00151301,-0.00800947,-0.0202023,1.897,0.0202066,0,0
930660743,0,-0.428549,-0.891359,0.43372,0.58286,0.00584722,-0.00912563,0.812501,-0.000321188,-0.00365195,-0.00129031,-0.00801465,-0.020141,1.8971,0.0202066,0,0
930698751,0,-0.428326,-0.891305,0.433691,0.582868,0.00575559,-0.00928772,0.812493,-0.000200037,-0.00506455,-0.000812711,-0.00838473,-0.0201812,1.89708,0.0201495,0,0
930730312,0,-0.428386,-0.891304,0.433658,0.582885,0.00579574,-0.00925038,0.812482,0.000405909,0.00308193,-0.00105691,-0.0082768,-0.020203,1.89704,0.0202101,0,0
930759372,0,-0.428453,-0.891305,0.43371,0.582827,0.00587662,-0.00910795,0.812524,0.000381174,0.000511082,0.000531494,-0.00795244,-0.0201679,1.89718,0.0202101,0,0
930806694,0,-0.428384,-0.891268,0.433727,0.582856,0.00583443,-0.00917313,0.812503,0.000464853,-0.00441617,0.000642621,-0.00810685,-0.0201756,1.89711,0.020159,0,0
930830669,0,-0.428268,-0.891196,0.433756,0.582869,0.00574831,-0.00931633,0.812493,0.00082735,-0.0017982,0.000718666,-0.0084397,-0.0202027,1.89708,0.020194,0,0
930859538,0,-0.428308,-0.891183,0.433767,0.58283,0.00580968,-0.00921489,0.812521,0.000771143,0.00145027,0.000250551,-0.00820424,-0.0201838,1.89718,0.020194,0,0
930897962,0,-0.428351,-0.891168,0.433782,0.582853,0.00586603,-0.0091098,0.812505,0.000876821,-0.0018338,0.000296687,-0.00796715,-0.0201531,1.89712,0.0201546,0,0
930931299,0,-0.428258,-0.8911,0.433947,0.582863,0.00579657,-0.00923389,0.812497,0.00102586,-0.0033323,0.00437576,-0.00824957,-0.020185,1.89709,0.0201726,0,0
930960510,0,-0.428384,-0.891125,0.434065,0.582835,0.00576602,-0.0092717,0.812517,0.000489306,0.00304236,0.00414374,-0.00834734,-0.0201791,1.89716,0.0201726,0,0
