x,y,z,frame
-28.026950262618417,-26.708298726041196,0.09800000000000007,97
-28.030601376234802,-26.705735821397603,0.09900000000000007,98
-28.026577299507267,-26.70569124491937,0.10000000000000007,99
-28.02657729950727,-26.70569124491937,0.10100000000000008,100
-28.026865882634493,-26.703428907952006,0.10200000000000008,101
-28.02686588263448,-26.70342890795199,0.10300000000000008,102
-28.02368237443449,-26.704661213152466,0.10400000000000008,103
-28.027552140127167,-26.704526195904595,0.10500000000000008,104
-28.029131468882603,-26.703627584124387,0.10600000000000008,105
-28.030814502710324,-26.702962349330125,0.10700000000000008,106
-28.024620476989302,-26.70387562524775,0.10800000000000008,107
-28.023159436470756,-26.704585513288613,0.10900000000000008,108
-28.03067239494435,-26.70437220636115,0.11000000000000008,109
-28.03107535904099,-26.701828951273487,0.11100000000000008,110
